env,regularizer,protocol,n,collapsed_rate,primary_integrated_probe_error_mean,primary_integrated_probe_error_ci95,abs_log_excess_amp_25_mean,excess_amp_50_mean,open_loop_mse_50_mean,effective_dim_mean,linear_probe_r2_mean
lorenz,moment,1step,5,0.0,9249.287368047131,11815.412552460699,0.8759954437655461,125.97964606402925,18205.502908468246,15.53845913914073,0.9618186693972944
lorenz,moment,bptt,5,0.0,123.46511958269328,16.86087045711849,0.01084193674306792,1.046476406585103,0.2054886192083359,15.570614901859983,0.9723758193350012
lorenz,none,1step,5,1.0,943.1155613919606,169.3340203100806,2.3249725310345477,0.058406216225155114,8.607685941797172e-08,0.4774327171598981,0.8928701747901011
lorenz,none,bptt,5,1.0,938.7400475737965,149.31911093264839,2.4085918676908507,0.05108787681566022,1.1622144171496985e-07,0.6488982828319978,0.8379203721101384
lorenz,sigreg,1step,5,0.0,573.3661042266697,439.75806380385734,0.6960194093502033,7.533060164445169,161.67731471061705,8.496040663947634,0.9926383105524946
lorenz,sigreg,bptt,5,0.0,133.8071469270822,26.721582338908462,0.16438332822099494,1.1369112189299222,0.181335973739624,4.373768062851498,0.9636968842768259
ou,moment,1step,5,0.0,76.35925289680895,0.5833293198766827,0.7080926126440856,0.2265083487821502,0.3567332923412323,11.921738625427764,0.9988900740713056
ou,moment,bptt,5,0.6,78.75461692713466,2.3563217725343253,0.37558102541697014,1.9535316324869672,0.04457037448883057,2.3346606150024223,0.8452114676471334
ou,moment,hstep-tf,5,0.0,76.12593863633755,0.7214147042630957,0.6955832831077285,0.4314594938076552,0.36816505789756776,12.75762493075227,0.9978184374009563
ou,none,1step,5,1.0,102.94806213362838,18.07135101038513,0.7559921589289357,6.683985881298481,8.749459965429195e-08,0.5208742055595265,0.7500778126529871
ou,none,bptt,5,1.0,107.22737344856746,21.899786678327462,0.503854533466927,8.8575995298627,1.5695352431066568e-07,0.3652521241028726,0.6377749045934362
ou,sigreg,1step,5,1.0,93.19897157628725,8.780837448547818,0.555397324707221,1.0076807651399675,0.17034154236316681,1.0002256227765924,0.7832198190129622
ou,sigreg,bptt,5,1.0,98.987477931791,11.814814397445556,0.957783992073278,5.484375360208906,2.536064499736312e-07,1.5315837470875437,0.7109337744997237
ou,sigreg,hstep-tf,5,0.8,98.26083458549576,11.435238704905103,0.8755168960898008,5.761050172438091,1.9141161260449736e-07,1.4610215892511333,0.7287774718317654
pointmass,moment,1step,3,0.0,37.50848014899433,1.4661058885406637,2.9465360614347404,169.27556857890235,2.4518516063690186,30.861797910181263,0.8385153697897229
pointmass,moment,bptt,3,0.0,8.817434766841911,2.92238571528968,0.566655973868047,2.169521896568698,0.5260248382886251,30.47148266780867,0.9881413479098872
pointmass,moment,hstep-tf,3,0.0,46.42715275024366,7.270358568409915,4.392230558279849,1067.2691878699318,9.878875732421875,30.821196422852086,0.8623568757203598
pointmass,none,1step,3,1.0,1065.292213139757,807.9776134192181,0.8919770631620932,0.5599054563138403,2.11143268794937e-08,2.5194178955627668e-06,0.3195255349810254
pointmass,none,bptt,3,1.0,1023.0270483320046,732.4240969471633,0.9168190450311885,0.540387224654752,3.4138626888354416e-08,2.611220750863568e-06,0.3252747159595677
pointmass,sigreg,1step,3,1.0,1014.1601826866904,360.78676183343043,1.0112988709339257,0.4860741736872807,1.088000119627471e-08,3.4072948488795716e-06,0.37561544105324035
pointmass,sigreg,bptt,3,1.0,528.7793446307792,610.7470369781612,0.9958081917104199,0.5240602986081738,5.454660353028847e-09,3.420608105870885e-06,0.375486121045666
pointmass,sigreg,hstep-tf,3,1.0,922.3243811136286,605.2212528248322,0.9956587424595064,0.5211721633759362,1.4928146274684195e-08,3.4315715198241775e-06,0.3729915348336523
pointmass-state,moment,1step,5,0.0,4.612534578091793,0.29946911132870285,0.06671501430538483,1.1583276488951373,0.1549068421125412,15.349593007483424,0.9972720908942204
pointmass-state,moment,bptt,5,0.0,2.69888703604214,0.16319813701666175,0.026920071323968557,1.026595920041603,0.03964405208826065,13.80325503266145,0.9991272547255516
pointmass-state,none,1step,5,1.0,54.592508066143196,13.661782837262457,3.9002269839729466,0.027652610439344184,1.6809563732067546e-07,0.2962556799976827,0.9896330305142911
pointmass-state,none,bptt,5,1.0,53.08156665422225,8.655573751420192,3.860436927294353,0.028994220531565952,9.255275905672988e-08,0.34636961562630175,0.9883091800220655
pointmass-state,sigreg,1step,5,1.0,53.141383331124004,6.966778844322826,3.609100305002935,0.039063033668661616,2.2605814962162185e-07,0.2981850580773212,0.9797686122695254
pointmass-state,sigreg,bptt,5,1.0,80.83458457695735,31.717254630726718,3.544946964862543,0.04314280547806384,7.833849924310243e-08,0.1714362203225697,0.9796541029001797
stable-linear-det,moment,1step,5,0.0,2.990246537735268,0.17375798817709365,0.49573632159316217,13.128138146301035,0.006607197667472064,15.296621642906453,0.5810495188759627
stable-linear-det,moment,bptt,5,0.8,4.75476700806542,1.0295067716505548,0.3727648886904243,0.39792203144275834,8.081739797489717e-05,8.047031605370362,0.2120346314787008
stable-linear-det,none,1step,5,1.0,6.951289836802381,1.2023970749699306,3.374921540327611,0.47220126407679563,1.0080580921112414e-07,5.5975870717600165,0.21536592489239484
stable-linear-det,none,bptt,5,1.0,6.74335846439485,1.0516676382509205,3.8482278897331215,0.28743129019159286,4.66217038308514e-08,7.59222289869286,0.08139133931852845
